country,country_code,year,value
Argentina,ARG,2023,26.6769512482215
Argentina,ARG,2022,31.5801792606256
Argentina,ARG,2021,33.078689567466
Argentina,ARG,2020,30.203698807416
Argentina,ARG,2019,32.6306150458499
Argentina,ARG,2018,30.7625359549926
Argentina,ARG,2017,25.2896011376779
Argentina,ARG,2016,26.0938878488799
Argentina,ARG,2015,22.4862260889792
Argentina,ARG,2014,28.4067936452275
Argentina,ARG,2013,29.3339290021037
Argentina,ARG,2012,30.5265423717108
Argentina,ARG,2011,35.2061549999644
Argentina,ARG,2010,34.9710132635696
Argentina,ARG,2009,34.0571269054879
Argentina,ARG,2008,40.4026733790382
Argentina,ARG,2007,40.945170618571
Argentina,ARG,2006,40.4334798719151
Argentina,ARG,2005,40.5512709706238
Argentina,ARG,2004,40.692646108947
Argentina,ARG,2003,40.6447480311085
Argentina,ARG,2002,41.7527243585642
Argentina,ARG,2001,21.8522554515453
Argentina,ARG,2000,22.6224447777343
Argentina,ARG,1999,21.3827449624898
Argentina,ARG,1998,23.3500279730689
Argentina,ARG,1997,23.3361788437439
Argentina,ARG,1996,21.5064684057215
Argentina,ARG,1995,19.7714230903755
Argentina,ARG,1994,18.1343458669981
Argentina,ARG,1993,16.223151447784
Argentina,ARG,1992,14.730980586353
Argentina,ARG,1991,13.7530541588891
Argentina,ARG,1990,14.9908589999441
Argentina,ARG,1989,19.6377977018838
Argentina,ARG,1988,15.743458608705
Argentina,ARG,1987,15.448969882952
Argentina,ARG,1986,14.4860327921395
Argentina,ARG,1985,18.009425070688
Argentina,ARG,1984,12.3463814292217
Argentina,ARG,1983,14.9876701068591
Argentina,ARG,1982,15.6114860999886
Argentina,ARG,1981,14.2929774788834
Argentina,ARG,1980,11.5456724606844
Argentina,ARG,1979,12.8406846411368
Argentina,ARG,1978,14.3237963724369
Argentina,ARG,1977,16.942286567935
Argentina,ARG,1976,15.0968846242519
Argentina,ARG,1975,11.8027242947756
Argentina,ARG,1974,13.1915798576321
Argentina,ARG,1973,13.3221685115576
Argentina,ARG,1972,14.0356431972715
Argentina,ARG,1971,12.6151889155439
Argentina,ARG,1970,10.3374440809233
Argentina,ARG,1969,12.7974266330598
Argentina,ARG,1968,11.8881648852942
Argentina,ARG,1967,12.4926603729179
Argentina,ARG,1966,11.6426054171411
Argentina,ARG,1965,10.3764574099485
Argentina,ARG,1964,11.1274296795488
Argentina,ARG,1963,15.7809062353749
Argentina,ARG,1962,14.0755256495637
Argentina,ARG,1961,11.9898923109727
Argentina,ARG,1960,15.2080960873797
United States,USA,2023,25.2903297883366
United States,USA,2022,27.3139397355363
United States,USA,2021,25.6095576621932
United States,USA,2020,23.4015629969394
United States,USA,2019,26.4537594940475
United States,USA,2018,27.6103792720958
United States,USA,2017,27.3130208877206
United States,USA,2016,26.6079620604584
United States,USA,2015,27.8235649187872
United States,USA,2014,30.0044781614855
United States,USA,2013,30.0079539684645
United States,USA,2012,30.6818353657295
United States,USA,2011,30.8424862411943
United States,USA,2010,28.2198952346731
United States,USA,2009,24.7595311689876
United States,USA,2008,29.8677957945319
United States,USA,2007,28.0120176822667
United States,USA,2006,26.9752780973197
United States,USA,2005,25.6385530316517
United States,USA,2004,24.4480622643257
United States,USA,2003,22.6273130062789
