year,exports,imports,bc
2023,83276004574.7551,89980573297.99,-6.704568723234909
2022,103224756800.251,96991607940.8038,6.233148859447205
2021,87906118244.6601,73042905138.0607,14.863213106599396
2020,64053810078.3073,52454091268.1886,11.599718810118699
2019,80259482469.139,65845624691.108,14.413857778031005
2018,75766598613.0197,85681309473.2328,-9.914710860213104
2017,72860557902.7631,89910495566.9384,-17.049937664175292
2016,69842604407.3878,75639254067.6608,-5.796649660272995
2015,63671789068.8987,70064879911.7042,-6.393090842805496
2014,75818867911.0825,73691675720.0984,2.1271921909841005
2013,80690471898.442,81240190816.9153,-0.5497189184732971
2012,88655850853.7721,78013690406.706,10.6421604470661
2011,97809980730.5834,88838309449.3132,8.971671281270202
2010,80208867995.7171,67937933972.3653,12.2709340233518
2009,65133480388.4946,48268743529.5373,16.864736858957297
2008,79762958392.3012,66316154417.0834,13.446803975217795
2007,65162321195.025,52567536062.3157,12.594785132709305
2006,53550250227.3909,40480743015.8524,13.069507211538498
2005,46198180131.0044,34392237786.5721,11.805942344432305
2004,39266996605.7973,27736672323.6712,11.530324282126102
2003,33084505277.8061,18772898618.6064,14.311606659199699
2002,27736610298.2555,13065823829.1753,14.6707864690802
2001,31112418400.0,27603881800.0,3.5085366
2000,31223690400.0,33070146000.0,-1.8464556
1999,27862300000.0,32762700000.0,-4.9004
1998,31137200000.0,38667300000.0,-7.5301
1997,30928400000.0,37413700000.0,-6.4853
1996,28381400000.0,30148400000.0,-1.767
1995,24978532000.0,26038017000.0,-1.059485
1994,19385100000.0,27299960000.0,-7.91486
1993,16357317317.3173,22049649649.6497,-5.692332332332399
1992,15095261860.4905,18606116033.8447,-3.5108541733542005
1991,14561091033.0362,11531201153.6445,3.029889879391699
1990,14643479947.2507,6546497152.31476,8.09698279493594
1989,10006623327.0204,5041767786.39482,4.964855540625579
1988,12094686105.3258,7882225528.11663,4.21246057720917
1987,8566904947.15056,8243255952.41335,0.32364899473721026
1986,8641279278.3558,6695427336.30366,1.9458519420521403
1985,10345475059.3627,5529993735.55397,4.815481323808729
1984,8873730058.64697,5561048222.66032,3.3126818359866506
1983,9515669466.75192,6068376037.18012,3.4472934295718
1982,7663966255.62989,5497685333.13496,2.16628092249493
1981,5445263189.73462,5800000170.81341,-0.3547369810787897
1980,3895791554.63367,4989980079.95196,-1.0941885253182897
1979,4508960596.80231,4383512570.52097,0.12544802628133964
1978,7665724159.60188,5089538171.53895,2.5761859880629303
1977,5459999880.58299,4159999872.68227,1.3000000079007197
1976,4695000304.43367,3030000057.09425,1.6650002473394199
1975,3054054017.48759,3135135020.645,-0.08108100315741014
1974,4999999839.57003,4555555489.85516,0.44444434971487046
1973,4000000136.32269,3000000101.96424,1.0000000343584499
1972,2500000047.48951,2374999979.49003,0.12500006799948024
1971,2000000003.29714,2199999958.62685,-0.19999995532971024
1970,1769210602.71535,1495789482.224,0.2734211204913499
1969,2000000041.3448,2000000041.3448,0.0
1968,1714285705.23432,1428571474.83812,0.2857142303961999
1967,1818181857.73576,1212121237.48041,0.6060606202553499
1966,1904761830.17968,1428571371.44429,0.4761904587353902
1965,1764705803.20912,1176470539.39431,0.5882352638148101
1964,1424603255.4971,1424602863.7313,3.9176579999923707e-07
1963,1441753549.59206,1441753153.10994,3.9648212003707884e-07
1962,860375634.171457,1720750786.53268,-0.860375152361223
1961,1206915940.34785,1206915602.41147,3.3793638014793395e-07
1960,1206418458.20125,1206418120.40417,3.37797080039978e-07
