country,country_code,year,value
Argentina,ARG,2023,-1.03232705601201
Argentina,ARG,2022,0.983156190025194
Argentina,ARG,2021,3.05472877060698
Argentina,ARG,2020,3.00713006708088
Argentina,ARG,2019,3.21914170984251
Argentina,ARG,2018,-1.88916445518585
Argentina,ARG,2017,-2.64903441833118
Argentina,ARG,2016,-1.03969751087799
Argentina,ARG,2015,-1.07492198807163
Argentina,ARG,2014,0.404163533523684
Argentina,ARG,2013,-0.0995822252265794
Argentina,ARG,2012,1.94917655233833
Argentina,ARG,2011,1.69226329066661
Argentina,ARG,2010,2.8966335471722
Argentina,ARG,2009,5.06484320667575
Argentina,ARG,2008,3.71912738621024
Argentina,ARG,2007,4.38033000444218
Argentina,ARG,2006,5.61990933570791
Argentina,ARG,2005,5.94048249709131
Argentina,ARG,2004,7.00259273903135
Argentina,ARG,2003,11.2171378217363
Argentina,ARG,2002,15.0124696397722
Argentina,ARG,2001,1.30576071351812
Argentina,ARG,2000,-0.649694312619028
Argentina,ARG,1999,-1.72839593260512
Argentina,ARG,1998,-2.51886405088506
Argentina,ARG,1997,-2.21447863989155
Argentina,ARG,1996,-0.649274893693637
Argentina,ARG,1995,-0.410602571195211
Argentina,ARG,1994,-3.0744484151647
Argentina,ARG,1993,-2.40444838036731
Argentina,ARG,1992,-1.53460564227824
Argentina,ARG,1991,1.59703253775518
Argentina,ARG,1990,5.72821418510863
Argentina,ARG,1989,6.47902011524435
Argentina,ARG,1988,3.31976733716303
Argentina,ARG,1987,0.297441743848656
Argentina,ARG,1986,1.83792229645136
Argentina,ARG,1985,5.46277097078228
Argentina,ARG,1984,2.83340919435594
Argentina,ARG,1983,3.31537126678235
Argentina,ARG,1982,2.56950005720169
Argentina,ARG,1981,-0.450878518263459
Argentina,ARG,1980,-1.421727098454
United States,USA,2023,-2.92150450779914
United States,USA,2022,-3.74513047688775
United States,USA,2021,-3.68872411908149
United States,USA,2020,-2.97335193646103
United States,USA,2019,-2.70001704686905
United States,USA,2018,-2.88840084059665
United States,USA,2017,-2.78954465171931
United States,USA,2016,-2.69199794670038
United States,USA,2015,-2.87992641258081
United States,USA,2014,-2.89960272168766
United States,USA,2013,-2.84063156559137
United States,USA,2012,-3.39373657217083
United States,USA,2011,-3.71555193417392
United States,USA,2010,-3.53717361736628
United States,USA,2009,-2.8950899302549
United States,USA,2008,-5.01610106518512
United States,USA,2007,-5.08443735772705
United States,USA,2006,-5.69250516072971
United States,USA,2005,-5.67444356856831
United States,USA,2004,-5.19056210148016
United States,USA,2003,-4.55599564098558
United States,USA,2002,-4.02361108180165
United States,USA,2001,-3.5602863376175
United States,USA,2000,-3.71744154893307
United States,USA,1999,-2.69489458732617
United States,USA,1998,-1.79536868525171
United States,USA,1997,-1.18881203857334
United States,USA,1996,-1.19380086167408
United States,USA,1995,-1.17493388853482
United States,USA,1994,-1.26916433061863
United States,USA,1993,-0.950257918609434
United States,USA,1992,-0.532764691096014
United States,USA,1991,-0.464637879459816
United States,USA,1990,-1.30560321870476
United States,USA,1989,-1.53753026634383
United States,USA,1988,-2.08905366586981
United States,USA,1987,-2.98174231213242
United States,USA,1986,-2.87946779991663
United States,USA,1985,-2.62776104701129
United States,USA,1984,-2.54425077391023
United States,USA,1983,-1.42106384137975
United States,USA,1982,-0.597346303848718
United States,USA,1981,-0.390359836372532
United States,USA,1980,-0.456933749156111
Germany,DEU,2023,3.97197646060612
Germany,DEU,2022,2.47105447198695
Germany,DEU,2021,5.12014099730063
Germany,DEU,2020,5.30608104975194
Germany,DEU,2019,5.60724624570291
Germany,DEU,2018,5.86855676857803
Germany,DEU,2017,6.95107572207338
Germany,DEU,2016,7.2650936871129
Germany,DEU,2015,7.41421366167481
Germany,DEU,2014,6.53898347110207
Germany,DEU,2013,5.77453880717814
Germany,DEU,2012,6.03951730444972
Germany,DEU,2011,4.85425441678104
Germany,DEU,2010,5.10545796593838
Germany,DEU,2009,4.76990501088626
Germany,DEU,2008,5.78458104183402
Germany,DEU,2007,6.3897695714769
Germany,DEU,2006,5.17970636968403
Germany,DEU,2005,4.95319708820102
Germany,DEU,2004,4.96393434043889
Germany,DEU,2003,3.62114592491108
Germany,DEU,2002,4.04833225388601
Germany,DEU,2001,1.56153639440135
Germany,DEU,2000,0.165707202088596
Germany,DEU,1999,0.540524927307389
Germany,DEU,1998,1.16485603097448
Germany,DEU,1997,1.02247887839445
Germany,DEU,1996,0.660752063715933
Germany,DEU,1995,0.356907886080013
Germany,DEU,1994,0.115667947029956
Germany,DEU,1993,0.00864943607952929
Germany,DEU,1992,-0.504944762528584
Germany,DEU,1991,-0.503389649474432
Germany,DEU,1990,-0.208131131092854
Germany,DEU,1989,-0.63103755660745
Germany,DEU,1988,-0.360741857193748
Germany,DEU,1987,-0.337577881298985
Germany,DEU,1986,-0.384809189998492
Germany,DEU,1985,-2.0472879394697
Germany,DEU,1984,-2.79797310279702
Germany,DEU,1983,-2.99746219851408
Germany,DEU,1982,-2.65416294315925
Germany,DEU,1981,-3.91487185505016
Germany,DEU,1980,-4.60952235453761
China,CHN,2023,2.09975106308822
China,CHN,2022,3.1547435064351
China,CHN,2021,2.53179327275066
China,CHN,2020,2.36821355050636
China,CHN,2019,0.911993645615486
China,CHN,2018,0.646655214404206
China,CHN,2017,1.72040771568555
China,CHN,2016,2.23013078010439
China,CHN,2015,3.18094361060282
China,CHN,2014,2.07549690819934
China,CHN,2013,2.41064480161362
China,CHN,2012,2.6731955806883
China,CHN,2011,2.35793856438755
China,CHN,2010,3.59141806659602
China,CHN,2009,4.24177919196867
China,CHN,2008,7.47389420396515
China,CHN,2007,8.54692723831214
China,CHN,2006,7.48411387417746
China,CHN,2005,5.3775205589607
China,CHN,2004,2.57909845203698
China,CHN,2003,2.12726757272195
China,CHN,2002,2.50920440442025
China,CHN,2001,2.07272781415574
China,CHN,2000,2.35225624908626
China,CHN,1999,2.77584309685704
China,CHN,1998,4.22671356721463
China,CHN,1997,4.42501286569947
China,CHN,1996,2.02066969738529
China,CHN,1995,1.61990618701885
China,CHN,1994,1.29769212706346
China,CHN,1993,-2.64064661624748
China,CHN,1992,1.16638798927299
China,CHN,1991,3.0170831275571
China,CHN,1990,2.95054575453738
China,CHN,1989,-1.41454503195816
China,CHN,1988,-1.29790482954545
China,CHN,1987,0.106415985437968
China,CHN,1986,-2.45262236416803
China,CHN,1985,-4.03174014633772
China,CHN,1984,0.0207339147605727
China,CHN,1983,1.11235971819312
China,CHN,1982,2.34182331525373
China,CHN,1981,1.09583076829737
China,CHN,1980,-1.27266270644298
Brazil,BRA,2023,2.27241877640328
Brazil,BRA,2022,0.445464030535458
Brazil,BRA,2021,0.562529978135221
Brazil,BRA,2020,0.60502547559268
Brazil,BRA,2019,-0.644419487916414
Brazil,BRA,2018,0.393795615606224
Brazil,BRA,2017,0.718201366834365
Brazil,BRA,2016,0.399676008549295
Brazil,BRA,2015,-1.15324309993983
Brazil,BRA,2014,-2.661520175459
Brazil,BRA,2013,-2.30149603468294
Brazil,BRA,2012,-1.35919546894867
Brazil,BRA,2011,-0.769379817979991
Brazil,BRA,2010,-1.04100856118554
Brazil,BRA,2009,-0.403233335994505
Brazil,BRA,2008,-0.189568389813193
Brazil,BRA,2007,1.36273883281938
Brazil,BRA,2006,2.70693271632332
Brazil,BRA,2005,3.40086332508593
Brazil,BRA,2004,3.4132705474457
Brazil,BRA,2003,2.22118268994289
Brazil,BRA,2002,0.84282314051407
Brazil,BRA,2001,-2.19286368016883
Brazil,BRA,2000,-2.26366534727728
Brazil,BRA,1999,-1.85236995475089
Brazil,BRA,1998,-2.37758425892372
Brazil,BRA,1997,-2.60891010876418
Brazil,BRA,1996,-2.17517210895787
Brazil,BRA,1995,-1.92670992225409
Brazil,BRA,1994,0.351393057937806
Brazil,BRA,1993,1.40722276336528
Brazil,BRA,1992,2.48324853329106
Brazil,BRA,1991,0.763195435092725
Brazil,BRA,1990,1.23887388797918
Brazil,BRA,1989,3.46834169656466
Brazil,BRA,1988,5.56747238560841
Brazil,BRA,1987,3.39456671559616
Brazil,BRA,1986,2.57390399475612
Brazil,BRA,1985,5.44739160821144
Brazil,BRA,1984,6.24075040520321
Brazil,BRA,1983,2.58715860865495
Brazil,BRA,1982,-0.690201321086754
Brazil,BRA,1981,-0.387243250772394
Brazil,BRA,1980,-2.23061774543479
