pais,codigo,anio,cuenta_corriente_pib
Alemania,DEU,1980,-1.8
Alemania,DEU,1981,-0.7
Alemania,DEU,1982,0.9
Alemania,DEU,1983,0.7
Alemania,DEU,1984,1.4
Alemania,DEU,1985,2.7
Alemania,DEU,1986,4.0
Alemania,DEU,1987,3.7
Alemania,DEU,1988,4.3
Alemania,DEU,1989,4.7
Alemania,DEU,1990,3.1
Alemania,DEU,1991,-1.2
Alemania,DEU,1992,-1.0
Alemania,DEU,1993,-0.8
Alemania,DEU,1994,-1.3
Alemania,DEU,1995,-1.1
Alemania,DEU,1996,-0.5
Alemania,DEU,1997,-0.3
Alemania,DEU,1998,-0.5
Alemania,DEU,1999,-1.2
Alemania,DEU,2000,-1.5
Alemania,DEU,2001,-0.2
Alemania,DEU,2002,2.0
Alemania,DEU,2003,1.5
Alemania,DEU,2004,4.5
Alemania,DEU,2005,4.7
Alemania,DEU,2006,5.8
Alemania,DEU,2007,6.7
Alemania,DEU,2008,5.6
Alemania,DEU,2009,5.8
Alemania,DEU,2010,5.7
Alemania,DEU,2011,6.3
Alemania,DEU,2012,7.2
Alemania,DEU,2013,6.7
Alemania,DEU,2014,7.2
Alemania,DEU,2015,8.1
Alemania,DEU,2016,8.9
Alemania,DEU,2017,8.1
Alemania,DEU,2018,8.4
Alemania,DEU,2019,7.9
Alemania,DEU,2020,6.3
Alemania,DEU,2021,6.9
Alemania,DEU,2022,3.8
Alemania,DEU,2023,5.5
Alemania,DEU,2024,5.6
Alemania,DEU,2025,5.4
Alemania,DEU,2026,5.1
Alemania,DEU,2027,4.8
Alemania,DEU,2028,4.5
Alemania,DEU,2029,4.3
Alemania,DEU,2030,4.2
Argentina,ARG,1980,-1.1
Argentina,ARG,1981,-3.0
Argentina,ARG,1982,-3.1
Argentina,ARG,1983,-2.1
Argentina,ARG,1984,-1.9
Argentina,ARG,1985,-1.0
Argentina,ARG,1986,-2.4
Argentina,ARG,1987,-3.5
Argentina,ARG,1988,-1.1
Argentina,ARG,1989,1.2
Argentina,ARG,1990,3.0
Argentina,ARG,1991,-0.2
Argentina,ARG,1992,-2.5
Argentina,ARG,1993,-3.0
Argentina,ARG,1994,-3.8
Argentina,ARG,1995,-1.8
Argentina,ARG,1996,-2.4
Argentina,ARG,1997,-3.8
Argentina,ARG,1998,-4.4
Argentina,ARG,1999,-3.8
Argentina,ARG,2000,-2.9
Argentina,ARG,2001,-1.3
