# Fuente: CEPALSTAT - CEPAL
# Indicador 4252: Participacion de las Exportaciones reales de Productos Primarios
#   segun Recursos Naturales Renovables y No Renovables, y Productos Manufactureros
# Agregado: America Latina y el Caribe
# Unidad: Porcentaje del total exportado
# URL API: https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/4252/data
# Fecha extraccion: 2026-05-18
anio,Primarios_en_base_Recursos_Naturales_No_renovables,Primarios_en_base_Recursos_Naturales_Renovables,Productos_Manufacturados,Subtotal_Productos_Primarios
1990,53.73,28.06,18.21,81.79
1991,49.83,34.39,15.79,84.21
1992,37.7,36.58,25.71,74.29
1993,33.41,37.9,28.69,71.31
1994,29.98,39.31,30.71,69.29
1995,28.89,37.27,33.84,66.16
1996,31.31,36.46,32.23,67.77
1997,29.2,37.12,33.68,66.32
1998,25.97,40.49,33.54,66.46
1999,32.08,35.85,32.07,67.93
2000,32.96,31.17,35.87,64.13
2001,29.6,33.97,36.43,63.57
2002,31.43,33.36,35.21,64.79
2003,30.47,32.4,37.13,62.87
2004,30.26,28.67,41.08,58.92
2005,31.78,24.72,43.5,56.5
2006,33.83,20.47,45.7,54.3
2007,26.92,23.45,49.63,50.37
2008,30.24,21.55,48.21,51.79
2009,32.28,29.14,38.57,61.43
2010,31.7,23.63,44.67,55.33
2011,32.67,22.74,44.59,55.41
2012,32.67,23.26,44.07,55.93
2013,31.54,24.03,44.43,55.57
2014,25.68,27.54,46.78,53.22
2015,22.88,33.87,43.25,56.75
2016,20.81,35.02,44.17,55.83
2017,23.47,32.63,43.9,56.1
2018,25.17,30.25,44.58,55.42
2019,25.46,30.6,43.93,56.07
2020,22.75,27.34,49.91,50.09
2021,21.74,26.13,52.12,47.88
2022,23.08,27.74,49.19,50.81
2023,22.01,26.45,51.54,48.46
