pais_iso,pais,indicador_code,indicador,anio,valor
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2023,26.68
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2022,31.58
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2021,33.08
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2020,30.2
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2019,32.63
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2018,30.76
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2017,25.29
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2016,26.09
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2015,22.49
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2014,28.41
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2013,29.33
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2012,30.53
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2011,35.21
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2010,34.97
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2009,34.06
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2008,40.4
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2007,40.95
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2006,40.43
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2005,40.55
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2004,40.69
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2003,40.64
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2002,41.75
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2001,21.85
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),2000,22.62
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1999,21.38
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1998,23.35
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1997,23.34
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1996,21.51
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1995,19.77
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1994,18.13
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1993,16.22
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1992,14.73
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1991,13.75
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1990,14.99
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1989,19.64
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1988,15.74
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1987,15.45
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1986,14.49
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1985,18.01
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1984,12.35
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1983,14.99
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1982,15.61
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1981,14.29
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1980,11.55
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1979,12.84
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1978,14.32
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1977,16.94
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1976,15.1
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1975,11.8
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1974,13.19
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1973,13.32
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1972,14.04
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1971,12.62
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1970,10.34
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1969,12.8
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1968,11.89
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1967,12.49
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1966,11.64
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1965,10.38
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1964,11.13
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1963,15.78
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1962,14.08
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1961,11.99
ARG,Argentina,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1960,15.21
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2023,12.82
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2022,16.28
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2021,18.07
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2020,16.61
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2019,17.92
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2018,14.44
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2017,11.32
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2016,12.53
ARG,Argentina,NE.EXP.GNFS.ZS,Exportaciones (% PIB),2015,10.71
