# Fuente: WTO Anti-Dumping Statistics (Initiations and Measures, 1995-2024)
# URL: https://www.wto.org/english/tratop_e/adp_e/adp_stattab_e.htm
# Acceso: reportes semestrales oficiales de la Organizacion Mundial del Comercio
# Fecha extraccion: 2026-05-04
# Datos complementarios Argentina: Comision Nacional de Comercio Exterior (CNCE)
# https://www.argentina.gob.ar/produccion/comercio/cnce
# Informes anuales publicos
# Origen de las medidas antidumping iniciadas por Argentina, acumulado 1995-2023
origen,medidas
China,229
Brazil,51
"Korea, Rep. of",28
Chinese Taipei,24
India,21
Indonesia,18
USA,14
Vietnam,11
Thailand,10
Otros,56
