# Fuente: WTO Anti-Dumping Statistics (Initiations and Measures, 1995-2024)
# URL: https://www.wto.org/english/tratop_e/adp_e/adp_stattab_e.htm
# Acceso: reportes semestrales oficiales de la Organizacion Mundial del Comercio
# Fecha extraccion: 2026-05-04
# Iniciaciones de investigacion antidumping por anio (todos los miembros WTO)
year,initiations
1995,156
1996,226
1997,246
1998,264
1999,358
2000,296
2001,374
2002,312
2003,234
2004,214
2005,200
2006,203
2007,165
2008,218
2009,217
2010,173
2011,165
2012,208
2013,287
2014,236
2015,232
2016,298
2017,250
2018,207
2019,268
2020,348
2021,290
2022,240
2023,230
